experience_id,experience_name,link
114922,Matamata: Guided Tour Ticket,https://www.getyourguide.com/en-gb/matamata-l90765/hobbiton-movie-set-guided-tour-t114922/
122921,Waitomo: Glowworm Caves Guided Tour by Boat,https://www.getyourguide.com/en-gb/waitomo-l32442/waitomo-glowworm-caves-45-minute-experience-t122921/
115647,Rotorua: Cultural Experience and Dinner Buffet,https://www.getyourguide.com/en-gb/rotorua-l1398/from-rotorua-maori-village-3-hour-evening-cultural-tour-t115647/
1321068,Queenstown: Queenstown Skyline Gondola and 3 Luge Rides,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-skyline-gondola-and-3-luge-rides-t1321068/
226204,Kaikoura: Whale Watching Cruise,https://www.getyourguide.com/en-gb/kaikoura-l37419/kaikoura-2-hour-whale-watching-cruise-t226204/
126038,Te Anau: Glowworm Caves Guided Tour,https://www.getyourguide.com/en-gb/te-anau-l937/te-anau-glowworm-caves-tour-t126038/
490301,Official ticket: Waiotapu: Wai-O-Tapu Geothermal Park Entry Ticket,https://www.getyourguide.com/en-gb/rotorua-l1398/rotorua-wai-o-tapu-geothermal-park-entry-ticket-t490301/
188016,Franz Josef Town: Franz Josef: 2.5 Hour Glacier Hike with Helicopter Transfer,https://www.getyourguide.com/en-gb/franz-josef-town-l45694/franz-josef-25-hour-glacier-hike-with-helicopter-transfer-t188016/
189426,2-Hour Small Boat Scenic Cruise,https://www.getyourguide.com/en-gb/milford-sound-l4468/milford-sound-2-hour-small-boat-scenic-cruise-t189426/
188556,Queenstown: Milford Sound Coach & Cruise Full-Day Trip,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-milford-sound-early-bird-coach-cruise-day-trip-t188556/
168473,From Auckland: Hobbiton & Waitomo Caves Day Trip with Lunch,https://www.getyourguide.com/en-gb/auckland-l822/from-auckland-hobbiton-waitomo-caves-small-group-day-tour-t168473/
427666,Rotorua: Te Pa Tu Māori Cultural Experience with Dinner,https://www.getyourguide.com/en-gb/rotorua-l1398/rotorua-te-pa-tu-maori-cultural-experience-with-dinner-t427666/
485484,Lake Tekapo: Stargazing Experience,https://www.getyourguide.com/en-gb/lake-tekapo-l113317/shared-tour-english-t485484/
109951,Queenstown: Shotover River Extreme Jet Boat Experience,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-shotover-river-extreme-jet-boat-experience-t109951/
1132135,Dunedin: Scenic Railway Tour Through the Taieri Gorge,https://www.getyourguide.com/en-gb/dunedin-l2026/dunedin-scenic-railway-tour-through-the-taieri-gorge-t1132135/
115240,Queenstown: Milford Sound Full-Day Trip by Plane & Boat,https://www.getyourguide.com/en-gb/queenstown-l498/milford-sound-fly-cruise-fly-t115240/
147603,Aoraki Mount Cook Village: Ski Plane and Helicopter Glacier Combo Flight,https://www.getyourguide.com/en-gb/aoraki-mount-cook-village-l126608/mount-cook-ski-plane-and-helicopter-glacier-combo-flight-t147603/
163593,Official tour: From Queenstown: Milford Sound Cruise and Coach Day Tour,https://www.getyourguide.com/en-gb/queenstown-l498/from-queenstown-milford-sound-cruise-and-coach-day-tour-t163593/
263042,Aoraki Mount Cook Village: 3-Hour Tasman Glacier Helicopter Ride and Hike,https://www.getyourguide.com/en-gb/aoraki-mount-cook-village-l126608/mount-cook-3-hour-tasman-glacier-helicopter-ride-and-hike-t263042/
408459,Lake Tekapo: Mount John Summit Stargazing Experience,https://www.getyourguide.com/en-gb/lake-tekapo-l113317/lake-tekapo-mountaintop-stargazing-at-mount-john-summit-t408459/
129952,Queenstown: Walter Peak Gourmet BBQ & Lake Whakatipu Cruise,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-walter-peak-gourmet-bbq-lake-whakatipu-cruise-t129952/
178664,Rotorua: Rafting Rotorua: Kaituna River White Water Experience,https://www.getyourguide.com/en-gb/rotorua-l1398/rafting-rotorua-kaituna-river-white-water-experience-t178664/
398555,Franz Josef Town: Helicopter Flight & Alpine Landing,https://www.getyourguide.com/en-gb/franz-josef-town-l45694/franz-josef-glacier-helicopter-flight-alpine-landing-t398555/
210486,Aoraki Mount Cook Village,https://www.getyourguide.com/en-gb/aoraki-mount-cook-village-l126608/mount-cook-heli-hike-to-the-tasman-glacier-t210486/
1194110,Official ticket: Auckland: Sky Tower Auckland: General Admission Ticket,https://www.getyourguide.com/en-gb/auckland-l822/sky-tower-auckland-general-admission-ticket-t1194110/
257732,Fox Glacier: Up to 3 Hours Hike with Helicopter Transfer,https://www.getyourguide.com/en-gb/fox-glacier-l45011/fox-glacier-4-hour-hike-and-scenic-helicopter-experience-t257732/
216693,Aoraki Mount Cook Village: Scenic Helicopter Flight with Alpine Landing,https://www.getyourguide.com/en-gb/aoraki-mount-cook-village-l126608/mount-cook-scenic-helicopter-flight-with-alpine-landing-t216693/
183443,Queenstown: 3-Hour Zipline Adventure with 6-Lines,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-3-hour-zipline-adventure-with-6-lines-t183443/
1056674,Queenstown: Nevis Canyon Swing - 70m Free-Fall!,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-nevis-swing-world-s-most-famous-swing-t1056674/
1056620,Queenstown: Nevis Bungy - THE BIGGEST,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-nevis-bungy-australasia-s-biggest-bungy-t1056620/
641794,Lake Tekapo: Alpine Stargazing Experience with a Guide,https://www.getyourguide.com/en-gb/lake-tekapo-l113317/lake-tekapo-alpine-stargazing-experience-t641794/
114433,Queenstown: Tandem Skydive Experience,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-tandem-skydive-experience-t114433/
267522,Queenstown: Boutique Small-Boat Cruise,https://www.getyourguide.com/en-gb/queenstown-l498/milford-sound-boutique-small-boat-cruise-t267522/
427339,Wellington: Wētā Workshop Guided Tour Ticket,https://www.getyourguide.com/en-gb/wellington-l943/wellington-weta-workshop-guided-tour-ticket-t427339/
398500,Franz Josef Town: Franz Josef: 35min Helicopter Trip over Two Glaciers,https://www.getyourguide.com/en-gb/franz-josef-town-l45694/franz-josef-35min-helicopter-trip-over-two-glaciers-t398500/
167172,Rotorua: Te Pō Indigenous Evening Experience - Haka + Dinner,https://www.getyourguide.com/en-gb/rotorua-l1398/te-puia-te-po-indigenous-evening-experience-haka-dinner-t167172/
61222,Queenstown: Shotover River and Kawarau River Jet Boat Ride,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-jet-boat-ride-underwater-observatory-t61222/
122304,Waitomo: Waitomo Caves: Ruakuri Glowworm Cave Guided Walking Tour,https://www.getyourguide.com/en-gb/waitomo-l32442/waitomo-caves-ruakuri-cave-15-hour-guided-tour-t122304/
171414,Queenstown: Quad Biking Experience,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-quad-biking-experience-t171414/
140739,Waitomo: Waitomo Caves: Labyrinth Black Water Rafting Experience,https://www.getyourguide.com/en-gb/waitomo-l32442/black-labyrinth-the-legendary-black-water-rafting-co-t140739/
525716,Auckland: Hobbiton Movie Set Day Trip with Festive Lunch,https://www.getyourguide.com/en-gb/auckland-l822/auckland-hobbiton-movie-set-day-trip-with-festive-lunch-t525716/
117864,Certified by GetYourGuide: Wildlife & Nature Signature Cruises,https://www.getyourguide.com/en-gb/milford-sound-l4468/milford-sound-wildlife-nature-cruises-t117864/
1053787,Queenstown: Kawarau Bridge Bungy - World's First Bungy!,https://www.getyourguide.com/en-gb/gibbston-l91032/queenstown-kawarau-bridge-bungy-world-s-first-bungy-t1053787/
524052,Christchurch: Arthur’s Pass + TranzAlpine Scenic Train,https://www.getyourguide.com/en-gb/christchurch-l945/from-christchurch-arthur-s-pass-with-tranzalpine-lunch-t524052/
134835,Queenstown: Queenstown Lake Cruise and Walter Peak Farm Tour,https://www.getyourguide.com/en-gb/queenstown-l498/queenstown-queenstown-lake-cruise-and-walter-peak-farm-tour-t134835/
449851,Akaroa: Dolphin Nature Cruise,https://www.getyourguide.com/en-gb/akaroa-l2149/akaroa-2-hour-harbour-dolphin-spotting-nature-cruise-t449851/
313078,"Franz Josef Town: Franz Josef: 13,000ft, 16,500ft or 18,000ft Skydive",https://www.getyourguide.com/en-gb/franz-josef-town-l45694/skydive-franz-josef-10k-13k-165k-or-18000ft-t313078/
53125,Certified by GetYourGuide: Auckland: Whale and Dolphin Watching Half-Day Eco Cruise,https://www.getyourguide.com/en-gb/auckland-l822/auckland-whale-dolphin-safari-t53125/
163278,Queenstown: Skippers Canyon Jet Boat Ride,https://www.getyourguide.com/en-gb/queenstown-l498/from-queenstown-skippers-canyon-jet-boat-ride-t163278/
105619,Auckland: Ferry & Hop-On Hop-Off Explorer Bus Tickets,https://www.getyourguide.com/en-gb/auckland-l822/waiheke-hop-on-hop-off-tour-t105619/
483931,Auckland: Waiheke Wine Tour + Tastings + Beach front Lunch,https://www.getyourguide.com/en-gb/auckland-l822/waiheke-island-wine-tour-lunch-at-award-winning-venue-t483931/
168236,Taupo: Tandem Skydive Experience in Taupo,https://www.getyourguide.com/en-gb/taupo-l32328/taupo-12000-foot-tandem-skydive-experience-t168236/
188574,From Te Anau: Milford Sound Coach Tour and Cruise,https://www.getyourguide.com/en-gb/te-anau-l937/from-te-anau-milford-sound-small-group-tour-and-cruise-t188574/
150425,Wellington: Original LOTR Full-Day Tour with Weta & Lunch,https://www.getyourguide.com/en-gb/wellington-l943/wellington-original-lotr-full-day-tour-with-weta-lunch-t150425/
410475,Peketa: Whale Watching Flight with Commentary,https://www.getyourguide.com/en-gb/kaikoura-l37419/kaikoura-whale-watching-flight-with-commentary-t410475/
238827,Queenstown: From Queenstown Milford Sound Cruise & Glass-Roof Coach Tour,https://www.getyourguide.com/en-gb/queenstown-l498/from-queenstown-milford-sound-cruise-glass-roof-coach-tour-t238827/
63241,Nature Cruise - Grand Views & Optional Lunch,https://www.getyourguide.com/en-gb/milford-sound-l4468/milford-sound-nature-cruise-grand-views-optional-lunch-t63241/
